GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
0500000US12001,12001,"Alachua County, Florida",254218,*****,222803,1407,2000,339,3324,438,12119,765,13972,1259
0500000US12003,12003,"Baker County, Florida",27135,*****,26498,170,80,109,149,124,241,92,167,114
0500000US12005,12005,"Bay County, Florida",175353,*****,162348,815,1400,418,3114,316,4566,476,3925,673
0500000US12007,12007,"Bradford County, Florida",27223,*****,26341,213,63,52,213,125,346,183,260,108
0500000US12009,12009,"Brevard County, Florida",553591,*****,489201,2317,8599,952,7844,715,30387,1508,17560,1640
0500000US12011,12011,"Broward County, Florida",1843152,*****,1194139,5630,34991,1561,20516,1323,334390,4358,259116,4623
0500000US12013,12013,"Calhoun County, Florida",14615,*****,13899,148,121,56,77,52,163,76,355,114
0500000US12015,12015,"Charlotte County, Florida",165783,*****,146126,1186,938,232,1315,285,10242,805,7162,867
0500000US12017,12017,"Citrus County, Florida",139654,*****,130226,748,1187,274,802,257,5053,497,2386,485
0500000US12019,12019,"Clay County, Florida",197417,*****,177937,1108,3008,539,2557,593,9332,908,4583,668
0500000US12021,12021,"Collier County, Florida",341091,*****,256661,2235,2519,552,2713,428,31673,1604,47525,2108
0500000US12023,12023,"Columbia County, Florida",67806,*****,64149,466,605,210,506,246,1400,339,1146,304
0500000US12027,12027,"DeSoto County, Florida",34957,*****,28521,523,193,85,113,108,1332,280,4798,596
0500000US12029,12029,"Dixie County, Florida",16091,*****,15366,187,10,15,218,93,266,125,231,86
0500000US12031,12031,"Duval County, Florida",890673,*****,782127,2800,10667,1143,11368,1111,46454,1780,40057,2447
0500000US12033,12033,"Escambia County, Florida",306327,*****,285553,950,1402,360,3721,472,8545,778,7106,700
0500000US12035,12035,"Flagler County, Florida",100783,*****,85746,1173,1311,295,1237,413,8683,805,3806,751
0500000US12037,12037,"Franklin County, Florida",11628,*****,11122,114,92,46,57,30,135,67,222,61
0500000US12039,12039,"Gadsden County, Florida",46424,*****,43127,413,252,148,296,119,798,252,1951,329
0500000US12041,12041,"Gilchrist County, Florida",16992,*****,16313,140,27,24,103,67,183,90,366,100
0500000US12043,12043,"Glades County, Florida",13272,*****,11554,321,59,65,23,26,353,247,1283,267
0500000US12045,12045,"Gulf County, Florida",15785,*****,15098,189,146,51,131,71,253,149,157,72
0500000US12047,12047,"Hamilton County, Florida",14395,*****,13625,143,79,52,110,58,106,61,475,119
0500000US12049,12049,"Hardee County, Florida",27468,*****,22538,628,152,74,184,96,906,323,3688,702
0500000US12051,12051,"Hendry County, Florida",38363,*****,27786,902,468,255,278,165,2913,493,6918,783
0500000US12053,12053,"Hernando County, Florida",174809,*****,158584,928,3573,468,1212,287,7801,726,3639,510
0500000US12055,12055,"Highlands County, Florida",98328,*****,84729,851,2836,573,662,213,4205,515,5896,800
0500000US12057,12057,"Hillsborough County, Florida",1302884,*****,1034492,4097,44090,2004,17890,1044,99084,2362,107328,3189
0500000US12059,12059,"Holmes County, Florida",19635,*****,18952,173,54,68,171,84,108,42,350,165
0500000US12061,12061,"Indian River County, Florida",142866,*****,126224,963,997,286,1134,294,6912,733,7599,919
0500000US12063,12063,"Jackson County, Florida",48900,*****,46704,296,191,74,481,163,486,127,1038,252
0500000US12065,12065,"Jefferson County, Florida",14198,*****,13580,108,95,53,159,81,157,61,207,67
0500000US12067,12067,"Lafayette County, Florida",8801,*****,8063,154,35,40,138,91,35,29,530,139
0500000US12069,12069,"Lake County, Florida",310561,*****,273707,1632,8488,1092,3497,648,14835,993,10034,1054
0500000US12071,12071,"Lee County, Florida",663675,*****,544263,2713,11521,1207,5229,720,45166,1677,57496,2611
0500000US12073,12073,"Leon County, Florida",282940,*****,258078,1453,1784,393,3211,462,9631,963,10236,972
0500000US12075,12075,"Levy County, Florida",39821,*****,37557,340,474,217,337,147,676,188,777,265
0500000US12077,12077,"Liberty County, Florida",8295,*****,7834,147,5,9,43,29,121,69,292,104
0500000US12079,12079,"Madison County, Florida",18729,*****,17969,169,52,45,78,51,258,118,372,146
0500000US12081,12081,"Manatee County, Florida",343729,*****,294797,1554,3537,635,2867,472,17209,1033,25319,1670
