GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Native:,Margin of Error; Income in the past 12 months below poverty level: - Native:,Estimate; Income in the past 12 months below poverty level: - Native: - Born in the United States,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born in the United States,Estimate; Income in the past 12 months below poverty level: - Native: - Born outside the United States,Margin of Error; Income in the past 12 months below poverty level: - Native: - Born outside the United States,Estimate; Income in the past 12 months below poverty level: - Foreign born:,Margin of Error; Income in the past 12 months below poverty level: - Foreign born:,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Naturalized citizen,Estimate; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen,Margin of Error; Income in the past 12 months below poverty level: - Foreign born: - Not a citizen,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Native:,Margin of Error; Income in the past 12 months at or above poverty level: - Native:,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born in the United States,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born in the United States,Estimate; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States,Margin of Error; Income in the past 12 months at or above poverty level: - Native: - Born outside the United States,Estimate; Income in the past 12 months at or above poverty level: - Foreign born:,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born:,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Naturalized citizen,Estimate; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen,Margin of Error; Income in the past 12 months at or above poverty level: - Foreign born: - Not a citizen
0500000US12001,12001,"Alachua County, Florida",239104,1077,58203,2456,52072,2267,50951,2231,1121,269,6131,796,1789,428,4342,707,180901,2302,161894,2592,158106,2717,3788,473,19007,1115,9797,766,9210,1055
0500000US12003,12003,"Baker County, Florida",24216,366,4393,959,4379,956,4373,955,6,10,14,17,5,8,9,15,19823,1044,19588,1015,19386,1025,202,148,235,97,165,75,70,53
0500000US12005,12005,"Bay County, Florida",172449,460,26235,1924,24915,1911,24320,1936,595,258,1320,323,372,175,948,277,146214,1939,139095,2010,135286,1992,3809,475,7119,758,4145,453,2974,712
0500000US12007,12007,"Bradford County, Florida",23818,438,4896,971,4842,968,4842,968,0,25,54,37,42,35,12,14,18922,986,18613,975,18414,954,199,129,309,188,270,188,39,39
0500000US12009,12009,"Brevard County, Florida",546775,631,76460,3817,68940,3626,66465,3585,2475,600,7520,1131,3057,534,4463,882,470315,3801,430507,3665,416700,3559,13807,1085,39808,1875,27190,1379,12618,1370
0500000US12011,12011,"Broward County, Florida",1827525,989,265880,6443,170228,5040,162544,4973,7684,973,95652,3989,40209,2347,55443,2768,1561645,6669,1066497,7022,1019130,6863,47367,1913,495148,6229,293251,4722,201897,4528
0500000US12013,12013,"Calhoun County, Florida",12482,247,2407,496,2357,486,2348,485,9,16,50,57,6,11,44,57,10075,570,9876,568,9809,574,67,61,199,96,117,73,82,65
0500000US12015,12015,"Charlotte County, Florida",162112,434,19760,1504,17374,1403,16919,1379,455,187,2386,498,902,253,1484,406,142352,1471,127538,1602,125787,1600,1751,337,14814,1022,9195,789,5619,703
0500000US12017,12017,"Citrus County, Florida",136990,517,23903,1769,22702,1766,22426,1765,276,140,1201,308,619,201,582,212,113087,1805,107172,1838,105548,1878,1624,350,5915,538,4368,444,1547,388
